#
## Proficy Historian SDK Data Export 
## Generated: 03/06/2023 09:24:27 AM
## Start Time: 03/02/2023 02:00:00 PM
## End Time: 03/03/2023 10:00:00 AM
## Interval: 60000 milliseconds
## Records Returned: 1200
#
Timestamp, SPLYO.CONDENSER_TEMPERATURE.F_CV, SPLYO.SHELF_OUTLET.F_CV, SPLYO.SHELF_INLET.F_CV, SPLYO.SHELF_SP.F_CV, SPLYO.TC_AVG.F_CV, SPLYO.VACUUM_SP.F_CV, SPLYO.CHAMBER_CM.F_CV, SPLYO.ROUGH_VACUUM.F_CV, SPLYO.CHAMBER_PIRANI.F_CV, SPLYO.CONDENSER_VACUUM.F_CV, SPLYO.CHAMBER_PRESSURE.F_CV
03/02/2023 17:02:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 17:03:00, -86, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 17:04:00, -86, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 17:05:00, -86.1, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 17:06:00, -86.1, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.3
03/02/2023 17:07:00, -86.1, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 17:08:00, -86, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 17:09:00, -86.1, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.3
03/02/2023 17:10:00, -86.1, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 17:11:00, -86.1, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:12:00, -86, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 17:13:00, -86.1, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:14:00, -86.1, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:15:00, -86, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:16:00, -86, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:17:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:18:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 419, 1046, 2100, -7.3
03/02/2023 17:19:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:20:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:21:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 419, 1046, 2100, -7.3
03/02/2023 17:22:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 419, 1046, 2100, -7.3
03/02/2023 17:23:00, -85.8, -39.9, -40, -40, 0, 0, 2100, 419, 1046, 2100, -7.3
03/02/2023 17:24:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 419, 1046, 2100, -7.3
03/02/2023 17:25:00, -85.8, -39.9, -40, -40, 0, 0, 2100, 419, 1046, 2100, -7.3
03/02/2023 17:26:00, -85.7, -39.9, -40, -40, 0, 0, 2100, 420, 1046, 2100, -7.3
03/02/2023 17:27:00, -85.7, -39.9, -40, -40, 0, 0, 2100, 419, 1046, 2100, -7.3
03/02/2023 17:28:00, -85.7, -39.9, -40, -40, 0, 0, 2100, 419, 1046, 2100, -7.3
